Unnamed: 0,Unnamed: 1,Unnamed: 2
Word list: my-word-list,,
radical,adjective,relating to the most important parts of something or someone; complete or extreme
radical,adjective,believing or expressing the belief that there should be great or extreme social or political change
radical,noun,a person who supports great social and political change
moral,adjective,behaving in ways considered by most people to be correct and honest
moral,adjective,"relating to the standards of good or bad behaviour, fairness, honesty, etc. that each person believes in, rather than to laws"
rogue,noun,a dishonest or bad man
rogue,noun,a person who behaves badly but who you still like
go rogue,phrase,"to start behaving in a way that is not normal or expected, especially by leaving your group and doing something dangerous"
rogue,adjective,"behaving in ways that are not expected or not normal, often in a way that causes damage"
